iter	Passed	Remaining
0	135	40662
1	161	24123
2	180	17834
3	203	15032
4	215	12730
5	235	11520
6	251	10510
7	277	10143
8	292	9468
9	312	9056
10	324	8531
11	340	8168
12	357	7898
13	370	7560
14	384	7301515	400	7111616	413	6881717	428	6711818	444	65619	466	6535
20	486	6459
21	499	6314
22	517	6227
23	534	6146
24	547	6027
25	559	5892
2626	575	5812727	592	57528	604	5645
29	6130	583	30	6331	600	31	6532	614	32	6633	627	33	6834	640	34	6935	660	35	7236	675	36	7337	692	37	7438	706	38	7639	720	39	7740	739	40	7841	758	4662
42	774	4631
43	788	4588
44	803	4554
45	817	4513
46	833	4487
47	848	4455
48	864	48	9249	879	49	9350	899	50	9451	917	4375
52	936	4365
53	952	4338
54	968	4312
55	983	4284
56	999	4262
57	1013	4229
58	1033	4220
59	1051	4206
60	1070	4194
61	1095	4206
62	1111	4181
63	1132	4177
64	1149	4155
65	1167	4138
66	1189	4137
67	1214	4142
68	1229	4115
69	1249	4104
70	1267	4088
71	1283	4064
72	1296	4033
73	1308	3997
74	1320	3960
75	1335	3937
76	1357	3932
77	1374	3911
78	1386	3879
79	1406	3867
80	1422	3846
81	1439	3827
82	1457	3811
83	1471	3784
84	1494	3780
85	1513	3765
86	1568	3838
87	1597	3848
88	1617	3835
89	1633	89	1690	1648	3785
91	1661	3756
92	1671	92	1793	1687	93	1794	1700	94	1795	1712	95	1796	1727	3614
97	1742	3591
98	1752	3557
99	1762	3525
100	1773	3493
101	1782	3461
102	1796	3435
103	1808	3408
104	1820	3380
105	1831	3351
106	1840106	18107	1853107	19108	186310108	109	1875109	19110	188611110	111	1898111	19112	1910112	19113	192111113	114	193111114	1993	32011115	2005	31811116	2017	31511117	2027	31211118	2039	310119	2051	3077
120	2064	3053
121	2080	3035
122	2091	3009
123	2104	2986
124	2123	2972
125	2134	2948
126	2148	2926
127	2161	2903
128	2177	2886
129	2187	2860
130	2196	2833
131	2207	2809
132	2218	2785
133	2227	2759
134	2238	2735
135	2249	2712
136	2260	2689
137	2271	2666
138	2282	2644
139	2293	2621
140	2303	2597
141	2315	2575
142	2325	2552
143	2336	2531
144	2350	2512
145	2360	2490
146	2372	2469
147	2382	2447
148	2393	2425
149	2406	2406
150	2416	2384
151	2427	2363
152	2437	2342
153	2450	2322
154	2462	2303
155	2473	2283
156	2484	2263
157	2495	2242
158	2506	2222
159	2516	2202
160	2527	2181
161	2539	2163
162	2552	2145
163	2564	2126
164	2575	2107
165	2587	2088
166	2598	2069
167	2610	2051
168	2621	2032
169	2632	2012
170	2642	1993
171	2655	1975
172	2666	1957
17173	2677	193174	2689	1921
175	2701	1903
176	2711	1884
177	2721	1865
178	2735	1848
179	2749	1832
180	2760	1814
181	2772	1797
182	2785	1781
183	2798	1764
184	2810	1747
185	2823	1730
186	2835	1713
187	2846	1695
188	2856	1677
189	2866	1659
190	2877	1642
191	2888	1624
192	2899	1607
193	2912	1591
19194	2926	15719195	2939	15519196	2951	15419197	2963	15219198	2977	15119199	2989	149200	2999	1477
201	3012	1461
202	3022	1444
203	3032	1427
204	3043	1410
205	3055	1394
206	3067	1378
207	3079	1361
208	3089	1345
209	3131	1341
210	3141	1325
211	3152	1308
212	3162	1291
213	3172	1275
214	3185	1259
215	3197	1243
216	3212	1228
217	3222	1212
218	3233	1195
219	3243	1179
220	3251	1162
221	3262	1146
222	3273	1130
223	3283	1113
224	3294	1098
225	3304	1082
226	3315	1066
227	3326	1050
228	3338	1035
229	3351	1019
230	3363	1004
231	3374	988
232	3385	973
233	3396	958
234	3409	943
235	3418	927
236	3430	911
237	3442	896
238	3453	881
239	3468	867
240	3481	852
241	3492	836
242	3504	821
243	3516	806
244	3527	791
245	3540	777
246	3550	761
247	3560	746
248	3572	731
249	3583	716
250	3593	701
251	3607	687
252	3617	671
253	3630	657
254	3642	642
255	3652	627
256	3662	612
257	3673	597
258	3682	583
259	3693	568
260	3703	553
261	3716	539
262	3728	524
263	3739	509
264	3749	495
265	3759	480
266	3769	465
267	3780	451
268	3792	437
269	3805	422
270	3814	408
271	3825	393
272	3849	380
273	3859	366
274	3869	351
275	3878	337
276	3888	322
277	3900	308
278	3910	294
279	3919	279
280	3935	266
281	3946	251
282	3957	237
283	3968	223
284	3979	209
285	3992	195
286	4003	181
287	4015	167
288	4025	153
289	4033	139
290	4043	125
291	4050	110
292	4061	97
293	4069	83
294	4078	69
295	4084	55
2296	4100	41297	4113	27
298	4121	13
299	4128	0

